venta_id,fecha,hora,sucursal_id,producto_id,cantidad,total,metodo_pago
1,09/04/2025,14:51,1,54,1,81.0,efectivo
2,17/12/2025,17:21,2,19,1,,tarjeta
3,2025-08-21,12:32,8,99,2,462.0,tarjeta
4,02/02/2026,07:57,7,9,2,168.2,Tarjeta 
5,04/09/2025,08:10,1,94,1,380.0,efectivo
6,2025-11-22,09:07,3,5,1,43.7,efectivo
7,2025-04-07,07:05,1,49,1,52.0,Tarjeta 
8,2026-02-12,21:37,6,37,1,57.2,Efectivo
9,31/01/2025,18:37,6,99,2,462.0,Tarjeta 
10,06/12/2024,21:46,8,45,1,85.8,Tarjeta
11,2025-12-25,10:50,7,82,3,543.75,App
12,2025-08-11,18:24,1,96,3,630.0,Efectivo
13,23/04/2026,12:19,3,6,3,159.6,Tarjeta 
14,08/03/2026,08:24,3,5,2,87.4,EFECTIVO
15,14/12/2024,21:46,3,74,2,34.2,efectivo
16,15/02/2026,07:16,1,3,1,54.0,Tarjeta 
17,2025-09-21,20:19,2,122,1,36.75,Monedero
18,2026-02-03,16:22,5,27,1,56.7,tarjeta
19,2025-07-10,08:01,2,40,2,121.8,EFECTIVO
20,2026-05-02,19:56,7,115,1,40.6,tarjeta
21,2025-05-28,15:33,2,63,1,65.1,Monedero
22,2025-11-24,21:19,6,5,1,50.6,app
23,2025-11-01,08:46,2,87,1,99.75,tarjeta
24,2025-06-06,15:20,8,23,2,105.6,Tarjeta 
25,07/06/2025,08:12,7,42,1,121.8,Tarjeta 
26,08/05/2025,08:43,6,19,1,37.4,EFECTIVO
27,2025-05-05,07:24,1,93,3,630.0,Monedero
28,2025-11-27,10:45,4,34,1,52.0,Tarjeta 
29,2026-03-23,17:35,1,59,3,165.0,Tarjeta 
30,2025-11-13,14:01,3,19,2,64.6,Tarjeta 
31,2024-12-16,10:34,5,10,1,37.8,efectivo
32,2025-09-23,19:00,7,125,1,69.6,EFECTIVO
33,2026-01-19,13:45,3,24,3,165.3,tarjeta
34,08/03/2025,14:10,4,103,2,230.0,app
35,2026-04-19,16:20,4,104,2,300.0,Efectivo
36,13/04/2025,18:10,1,52,1,55.0,efectivo
37,2025-01-09,18:27,6,26,1,48.4,tarjeta
38,2025-12-29,13:45,6,143,1,60.5,Tarjeta
39,28/04/2026,09:13,2,82,1,131.25,Tarjeta 
40,2026-01-14,09:55,5,9,1,60.9,EFECTIVO
41,01/12/2025,19:46,3,135,2,304.0,EFECTIVO
42,10/12/2024,19:23,5,69,1,23.1,Tarjeta 
43,17/09/2025,18:55,4,25,3,102.0,tarjeta
44,2026-01-18,11:31,3,57,1,68.4,Tarjeta 
45,03/02/2026,17:08,3,64,1,68.4,Efectivo
46,2026-04-09,10:14,7,50,3,282.75,tarjeta
47,2026-02-17,13:45,6,5,2,101.2,Tarjeta
48,2026-03-27,15:09,4,29,1,46.0,Tarjeta 
49,02/02/2025,08:05,6,19,2,74.8,Monedero
50,2026-01-14,10:38,8,16,1,37.4,tarjeta
51,2025-03-25,10:07,4,67,3,66.0,Monedero
52,10/04/2026,09:10,2,60,2,130.2,efectivo
53,2026-01-31,18:02,7,4,1,52.2,Tarjeta
54,19/01/2026,09:54,6,5,1,50.6,tarjeta
55,2025-06-17,13:35,1,23,1,48.0,efectivo
56,2026-01-06,14:34,4,116,2,110.0,EFECTIVO
57,06/04/2026,09:03,5,92,1,126.0,Tarjeta
58,2026-01-11,16:29,3,105,1,275.5,efectivo
59,2024-12-24,11:10,6,1,3,112.2,EFECTIVO
60,2025-11-27,12:49,1,123,1,58.0,efectivo
61,2025-09-29,20:24,5,128,2,54.6,Efectivo
62,2025-09-15,14:41,7,24,1,84.1,Tarjeta
63,18/01/2025,11:43,1,124,2,96.0,App
64,09/12/2025,07:21,3,59,2,104.5,app
65,2025-10-12,17:56,1,44,1,65.0,Monedero
66,07/02/2026,09:29,6,47,1,78.1,EFECTIVO
67,18/03/2026,13:52,1,5,1,46.0,Tarjeta
68,2025-06-18,10:47,7,40,1,84.1,tarjeta
69,12/02/2025,17:35,8,111,3,105.6,Tarjeta 
70,2026-01-15,10:04,1,52,1,55.0,efectivo
71,2025-04-16,18:49,5,36,3,245.7,Tarjeta
72,15/04/2026,09:19,8,19,1,37.4,efectivo
73,21/06/2025,09:21,6,27,2,118.8,Efectivo
74,31/12/2024,10:02,7,143,1,79.75,Efectivo
75,2026-03-10,10:49,6,68,1,28.6,efectivo
76,2025-08-10,07:30,2,20,2,92.4,Tarjeta 
77,2026-01-11,19:51,6,9,3,191.4,efectivo
78,18/04/2026,09:55,8,26,1,48.4,tarjeta
79,2025-02-25,13:06,5,112,1,29.4,tarjeta
80,25/10/2025,16:51,1,88,1,125.0,EFECTIVO
81,19/03/2026,18:16,3,81,3,205.2,Tarjeta 
82,06/01/2025,13:10,5,59,1,57.75,EFECTIVO
83,2026-04-13,09:17,2,66,2,151.2,Efectivo
84,16/12/2024,19:05,1,36,1,78.0,EFECTIVO
85,2025-03-17,19:39,1,51,1,78.0,EFECTIVO
86,2026-02-14,17:11,1,75,2,52.0,Efectivo
87,22/03/2026,09:23,2,123,1,60.9,tarjeta
88,04/01/2025,21:16,1,1,1,34.0,App
89,2026-03-10,16:12,6,127,2,-57.2,Tarjeta
90,2025-05-05,10:02,2,31,3,173.25,Efectivo
91,2025-01-01,18:27,3,39,3,222.3,tarjeta
92,25/05/2025,14:08,3,36,1,74.1,EFECTIVO
93,2026-02-24,10:02,6,40,1,$63.80,efectivo
94,2024-12-19,07:45,5,126,2,42.0,Tarjeta 
95,2026-05-09,08:52,2,37,3,163.8,tarjeta
96,2025-11-19,19:29,1,124,1,48.0,tarjeta
97,2025-12-30,10:55,7,58,2,139.2,Tarjeta 
98,2024-12-28,14:21,5,52,1,57.75,EFECTIVO
99,10/05/2026,17:41,1,58,1,48.0,Tarjeta 
100,2026-03-26,10:41,2,130,2,42.0,app
101,05/10/2025,16:28,2,36,2,163.8,Tarjeta 
102,2026-01-14,19:21,7,57,1,104.4,Tarjeta
103,2025-07-13,21:21,5,30,3,176.4,EFECTIVO
104,11/07/2025,18:03,5,71,2,54.6,EFECTIVO
105,29/05/2025,10:02,2,131,3,81.9,Efectivo
106,2025-03-03,09:45,1,86,1,95.0,Tarjeta 
107,2025-02-04,15:04,2,76,2,37.8,Tarjeta 
108,2025-06-12,08:37,2,105,1,304.5,Tarjeta 
109,2025-12-04,17:51,6,50,1,71.5,tarjeta
110,2025-01-05,17:17,3,113,1,42.75,Efectivo
111,2025-01-12,12:20,3,130,2,38.0,Tarjeta 
112,2025-01-18,19:24,6,60,1,68.2,Tarjeta 
113,2024-12-21,07:04,5,12,2,117.6,Monedero
114,2025-02-17,20:02,1,46,1,58.0,EFECTIVO
115,2025-01-31,16:29,1,14,3,138.0,Tarjeta
116,10/02/2025,11:59,1,119,2,136.0,Tarjeta 
117,15/06/2025,10:35,7,92,2,348.0,Efectivo
118,21/05/2025,10:32,8,48,3,277.2,efectivo
119,2026-01-12,15:19,7,85,2,319.0,Tarjeta 
120,2025-11-09,10:12,1,120,1,48.0,efectivo
121,07/07/2025,17:08,1,57,2,144.0,tarjeta
122,2026-05-09,09:35,8,23,3,158.4,EFECTIVO
123,2025-03-14,17:52,8,56,1,60.5,Tarjeta 
124,01/08/2025,15:56,8,113,3,148.5,efectivo
125,2025-11-05,07:10,2,142,2,109.2,tarjeta
126,2025-09-09,21:23,8,43,2,114.4,efectivo
127,2025-01-31,08:25,5,4,1,37.8,efectivo
128,22/02/2026,10:11,1,19,1,34.0,efectivo
129,2025-01-20,09:44,5,44,1,68.25,EFECTIVO
130,11/04/2025,19:53,4,3,1,54.0,App
131,2025-11-02,07:23,5,2,1,46.2,EFECTIVO
132,2025-09-11,14:02,5,9,2,121.8,Efectivo
133,2025-11-22,11:19,5,39,3,245.7,tarjeta
134,14/03/2026,19:17,2,46,3,182.7,tarjeta
135,2026-05-10,12:05,4,100,2,760.0,efectivo
136,2026-02-08,11:19,7,59,1,79.75,Tarjeta 
137,2026-05-04,12:51,3,38,2,123.5,app
138,2025-10-07,17:21,5,21,2,113.4,EFECTIVO
139,2026-04-06,07:35,6,119,1,74.8,EFECTIVO
140,2026-04-04,19:33,2,42,2,176.4,Tarjeta
141,2026-04-22,12:22,1,39,3,234.0,Efectivo
142,07/05/2026,14:56,7,15,1,81.2,Tarjeta 
143,2025-02-26,14:15,1,135,3,480.0,tarjeta
144,2025-04-03,19:36,6,8,2,105.6,tarjeta
145,07/03/2026,12:10,3,69,1,20.9,Tarjeta 
146,23/08/2025,18:38,8,8,1,52.8,Tarjeta
147,2026-05-12,07:54,8,23,2,105.6,efectivo
148,04/03/2025,08:58,6,61,1,79.2,EFECTIVO
149,09/12/2024,17:14,7,53,1,$98.60,efectivo
150,18/05/2026,17:29,5,69,2,46.2,App
151,2026-03-08,08:51,7,6,1,81.2,tarjeta
152,2025-06-03,07:16,1,43,3,156.0,EFECTIVO
153,15/11/2025,10:45,8,122,3,115.5,Efectivo
154,24/12/2024,11:35,2,28,2,75.6,efectivo
155,2024-12-06,08:19,1,21,3,162.0,efectivo
156,2025-06-24,07:07,6,74,2,39.6,tarjeta
157,2025-11-25,15:00,6,131,2,57.2,EFECTIVO
158,27/12/2025,18:05,1,30,1,56.0,EFECTIVO
159,2025-02-25,16:30,2,92,3,378.0,Efectivo
