cliente_id,recencia_dias,total_gastado,antiguedad_dias,edad,cluster
1,349.0,2292.72,1118,22,1
2,3.0,5687.69,359,39,0
3,20.0,575.97,874,41,2
4,479.0,779.73,603,34,1
5,7.0,477.4,7,31,0
6,1.0,8003.31,501,55,3
7,282.0,3193.68,1029,49,1
8,114.0,757.18,934,38,2
9,6.0,12054.34,833,56,3
10,23.0,14934.89,951,35,3
11,449.0,1567.98,1327,46,1
12,426.0,3912.3,1002,25,1
13,27.0,107.19,528,42,2
14,34.0,184.03,916,23,2
15,24.0,12900.64,349,46,3
16,234.0,2583.7,1498,25,1
17,248.0,1371.06,1280,51,1
18,14.0,1036.08,860,19,0
19,265.0,2070.34,549,44,1
20,24.0,4902.76,684,51,2
21,97.0,367.46,523,21,0
22,14.0,600.59,908,37,2
23,6.0,84.56,1166,39,2
24,171.0,1688.45,848,65,2
25,17.0,11058.78,820,50,3
26,65.0,217.57,140,49,0
27,63.0,1148.35,497,19,0
28,241.0,1507.9,1017,49,1
29,8.0,12925.52,1302,43,3
30,44.0,765.59,521,48,2
31,48.0,849.67,1011,23,2
34,415.0,401.62,415,25,1
35,3.0,119.25,29,37,0
36,22.0,12879.65,1383,54,3
37,35.0,1139.71,1107,38,2
38,6.0,202.32,32,29,0
39,104.0,742.63,366,47,2
40,30.0,614.97,449,27,0
41,38.0,63.72,39,27,0
42,15.0,57.84,15,33,0
43,63.0,1078.29,303,29,0
44,6.0,656.6,416,27,0
45,451.0,3270.44,451,62,1
46,3.0,6722.95,911,57,3
47,12.0,592.4,28,33,0
48,5.0,3766.47,523,50,2
49,14.0,132.87,14,33,0
50,373.0,1097.25,508,53,1
51,14.0,530.4,809,54,2
52,10.0,273.62,216,20,0
54,217.0,3035.55,1167,30,1
55,1.0,6403.04,1110,28,2
56,20.0,12021.2,444,59,3
58,70.0,585.45,476,38,2
59,11.0,15.97,30,31,0
60,23.0,6577.63,1137,31,2
63,38.0,409.36,1127,50,2
64,367.0,3764.7,959,46,1
65,111.0,1147.82,822,37,2
66,25.0,5335.23,372,38,0
67,103.0,186.54,446,55,2
68,1.0,9127.49,670,38,3
69,95.0,541.28,130,35,0
70,20.0,9697.61,1038,49,3
71,13.0,969.56,547,42,2
72,183.0,3708.54,1262,22,2
73,51.0,167.25,192,41,0
74,20.0,10739.15,379,38,3
75,106.0,393.66,215,33,0
76,9.0,4405.6,968,57,2
77,13.0,12614.17,1024,36,3
78,164.0,2721.99,935,47,2
79,481.0,1505.32,647,35,1
80,6.0,11593.57,1090,53,3
81,15.0,27.53,15,31,0
82,25.0,592.68,47,21,0
83,56.0,390.48,854,29,2
84,470.0,2077.09,1152,61,1
85,24.0,11499.97,1124,59,3
86,20.0,9644.6,897,54,3
87,4.0,293.47,30,26,0
88,83.0,112.83,342,39,0
89,0.0,4000.19,478,52,2
90,18.0,460.6,18,26,0
91,397.0,672.33,1026,51,1
92,5.0,12332.59,763,45,3
93,13.0,498.0,53,27,0
94,392.0,1416.82,1083,40,1
95,0.0,13385.12,606,47,3
96,21.0,324.7,40,29,0
97,331.0,3068.01,1214,41,1
98,184.0,1523.63,1327,46,1
99,4.0,89.53,4,40,0
100,113.0,981.74,757,19,0
101,25.0,6057.05,788,59,3
102,455.0,3629.93,739,56,1
103,62.0,468.97,564,45,2
104,488.0,2104.03,845,29,1
105,98.0,899.0,133,31,0
106,231.0,2176.9,1070,36,1
107,21.0,11677.18,864,38,3
108,488.0,3880.0,1134,31,1
109,415.0,1189.3,798,32,1
110,0.0,15196.19,1321,52,3
111,7.0,9239.83,1347,60,3
112,22.0,7614.25,1156,39,3
113,6.0,11043.04,684,57,3
114,76.0,1117.8,254,26,0
115,20.0,67.19,20,24,0
116,63.0,315.51,232,49,2
117,14.0,6685.25,528,59,3
118,6.0,8149.43,1246,55,3
119,18.0,9413.33,503,45,3
120,118.0,234.91,828,38,2
121,2.0,485.59,2,23,0
122,0.0,573.84,20,29,0
123,42.0,591.81,155,52,2
124,452.0,782.08,1399,32,1
125,118.0,631.04,1190,50,2
126,218.0,992.48,661,63,1
127,31.0,686.93,647,47,2
128,240.0,679.32,1291,23,1
129,10.0,259.56,780,50,2
130,408.0,759.76,426,30,1
131,2.0,4206.75,1322,43,2
132,49.0,1034.75,607,34,2
133,1.0,15793.66,332,38,3
134,14.0,423.58,41,35,0
135,50.0,854.11,931,35,2
136,106.0,1106.52,404,51,2
137,18.0,92.9,732,22,0
138,45.0,1131.25,529,49,2
139,212.0,3898.71,1214,42,1
140,22.0,4390.76,1296,48,2
141,91.0,165.95,438,26,0
142,67.0,111.85,736,31,2
143,114.0,777.23,191,25,0
144,1.0,459.9,19,27,0
145,112.0,722.96,272,43,0
146,53.0,378.66,1002,42,2
147,180.0,802.9,525,28,0
148,8.0,413.68,8,33,0
149,438.0,3544.09,980,25,1
150,59.0,357.97,377,36,0
151,259.0,1034.65,640,39,1
152,14.0,10134.01,502,55,3
153,337.0,3945.12,1062,24,1
154,48.0,99.08,975,48,2
155,22.0,12474.84,856,30,3
156,471.0,3070.61,1283,25,1
157,22.0,76.74,22,24,0
158,57.0,429.5,356,24,0
159,17.0,4320.63,937,58,2
160,350.0,551.18,1143,65,1
161,497.0,670.88,1186,28,1
162,16.0,7519.62,1301,38,3
163,11.0,84.34,13,30,0
164,63.0,608.62,344,41,0
165,94.0,973.14,507,55,2
166,17.0,10478.97,875,60,3
167,97.0,488.78,838,38,2
168,15.0,232.91,37,35,0
169,18.0,8309.06,1020,60,3
170,465.0,2121.54,553,28,1
171,81.0,330.14,378,55,2
172,1.0,291.41,25,20,0
173,8.0,6842.03,497,28,0
